,run,perda,lr,alpha,numero_pontos,numero_neuronios,numero_camadas
0,lr_experiment_1,0.09743377566337585,5.417257182767966e-05,0.31609734803264744,1905,13,8
1,lr_experiment_2,0.056545089930295944,0.00022551974378040465,0.31609734803264744,1905,13,8
2,lr_experiment_3,0.055980928242206573,0.00038628112202415845,0.31609734803264744,1905,13,8
3,lr_experiment_4,0.15939022600650787,0.0002449702764170618,0.31609734803264744,1905,13,8
4,lr_experiment_5,0.0631786435842514,0.0007918664800133627,0.31609734803264744,1905,13,8
5,lr_experiment_6,0.048504769802093506,0.003254216711952587,0.31609734803264744,1905,13,8
6,lr_experiment_7,0.06919747591018677,9.318996041573115e-05,0.31609734803264744,1905,13,8
7,lr_experiment_8,0.05332150682806969,0.016481646451172276,0.31609734803264744,1905,13,8
8,lr_experiment_9,0.047906626015901566,0.007556948618653983,0.31609734803264744,1905,13,8
9,lr_experiment_10,0.04918382689356804,0.02440486782811985,0.31609734803264744,1905,13,8
10,alpha_experiment_1,0.044019367545843124,0.007556948618653983,0.31255094868370903,1905,13,8
11,alpha_experiment_2,0.0581093430519104,0.007556948618653983,0.2797163211524947,1905,13,8
12,alpha_experiment_3,0.05179355666041374,0.007556948618653983,0.25874255371037413,1905,13,8
13,alpha_experiment_4,0.05536800995469093,0.007556948618653983,0.20268652186386216,1905,13,8
14,alpha_experiment_5,0.05531766265630722,0.007556948618653983,0.25355490669093583,1905,13,8
15,alpha_experiment_6,0.07237973064184189,0.007556948618653983,0.11257001581683086,1905,13,8
16,alpha_experiment_7,0.05553552135825157,0.007556948618653983,0.2659956433677083,1905,13,8
17,alpha_experiment_8,0.04400549829006195,0.007556948618653983,0.3353968349676888,1905,13,8
18,alpha_experiment_9,0.04788385331630707,0.007556948618653983,0.37603016147007895,1905,13,8
19,alpha_experiment_10,0.06454860419034958,0.007556948618653983,0.16200766892385512,1905,13,8
20,numero_pontos_experiment_1,0.047717541456222534,0.007556948618653983,0.3353968349676888,1027,13,8
21,numero_pontos_experiment_2,0.05494582653045654,0.007556948618653983,0.3353968349676888,2218,13,8
22,numero_pontos_experiment_3,0.05815001577138901,0.007556948618653983,0.3353968349676888,2473,13,8
23,numero_pontos_experiment_4,0.04779118672013283,0.007556948618653983,0.3353968349676888,2714,13,8
24,numero_pontos_experiment_5,0.04576878994703293,0.007556948618653983,0.3353968349676888,1630,13,8
25,numero_pontos_experiment_6,0.046555500477552414,0.007556948618653983,0.3353968349676888,1299,13,8
26,numero_pontos_experiment_7,0.042018260806798935,0.007556948618653983,0.3353968349676888,2967,13,8
27,numero_pontos_experiment_8,0.051524728536605835,0.007556948618653983,0.3353968349676888,2033,13,8
28,numero_pontos_experiment_9,0.05326663702726364,0.007556948618653983,0.3353968349676888,2264,13,8
29,numero_pontos_experiment_10,0.04459460452198982,0.007556948618653983,0.3353968349676888,1297,13,8
30,numero_neuronios_experiment_1,0.051930807530879974,0.007556948618653983,0.3353968349676888,2967,10,8
31,numero_neuronios_experiment_2,0.049636110663414,0.007556948618653983,0.3353968349676888,2967,11,8
32,numero_neuronios_experiment_3,0.057414475828409195,0.007556948618653983,0.3353968349676888,2967,7,8
33,numero_neuronios_experiment_4,0.046464741230010986,0.007556948618653983,0.3353968349676888,2967,8,8
34,numero_neuronios_experiment_5,0.04792536050081253,0.007556948618653983,0.3353968349676888,2967,8,8
35,numero_neuronios_experiment_6,0.0523788221180439,0.007556948618653983,0.3353968349676888,2967,3,8
36,numero_neuronios_experiment_7,0.12328992784023285,0.007556948618653983,0.3353968349676888,2967,2,8
37,numero_neuronios_experiment_8,0.04867664724588394,0.007556948618653983,0.3353968349676888,2967,7,8
38,numero_neuronios_experiment_9,0.11467764526605606,0.007556948618653983,0.3353968349676888,2967,2,8
39,numero_neuronios_experiment_10,0.04675143584609032,0.007556948618653983,0.3353968349676888,2967,12,8
40,numero_camadas_experiment_1,0.060638949275016785,0.007556948618653983,0.3353968349676888,2967,8,4
41,numero_camadas_experiment_2,0.0510224811732769,0.007556948618653983,0.3353968349676888,2967,8,5
42,numero_camadas_experiment_3,0.05759302154183388,0.007556948618653983,0.3353968349676888,2967,8,6
43,numero_camadas_experiment_4,0.04186870902776718,0.007556948618653983,0.3353968349676888,2967,8,5
44,numero_camadas_experiment_5,0.056075092405080795,0.007556948618653983,0.3353968349676888,2967,8,8
45,numero_camadas_experiment_6,0.0465700663626194,0.007556948618653983,0.3353968349676888,2967,8,7
46,numero_camadas_experiment_7,0.061598166823387146,0.007556948618653983,0.3353968349676888,2967,8,4
47,numero_camadas_experiment_8,0.05964554473757744,0.007556948618653983,0.3353968349676888,2967,8,6
48,numero_camadas_experiment_9,0.055192962288856506,0.007556948618653983,0.3353968349676888,2967,8,5
49,numero_camadas_experiment_10,0.04860008507966995,0.007556948618653983,0.3353968349676888,2967,8,5
